ra,dec,z,petroMag_r
160.98662,1.1289746,0.1172437,17.4759
160.88044,1.1827561,0.1173873,17.39614
160.71225,1.1913843,0.1169599,17.96161
149.71937,1.0607535,0.0807506,16.38553
149.28052,1.1801679,0.08035871,16.73964
229.47509,0.82864384,0.03888577,14.67962
229.21429,0.79672193,0.03865008,16.18729
202.03402,0.73743637,0.1169906,17.47392
195.06663,0.77509168,0.08073365,17.50272
193.91509,0.80453279,0.08055256,16.45015
164.30487,0.63860485,0.03928244,16.38642
164.34462,0.66165262,0.03910039,16.16379
162.83689,0.65981074,0.03877994,17.35336
159.94684,0.71727609,0.08014129,17.84719
149.72894,0.81279453,0.08026182,17.48135
149.66666,0.73591306,0.08054834,16.1589
148.94828,0.79222728,0.08077468,17.65823
147.64263,0.78011335,0.08081359,17.12838
138.03336,0.78488074,0.03915144,15.65223
233.39327,0.35634801,0.08033238,17.50776
232.17628,0.26139097,0.08028346,16.50878
231.83373,0.27351627,0.08075994,17.27013
229.76983,0.41375157,0.03916468,16.21752
227.46102,0.28323209,0.03930969,17.32551
160.98544,0.99166535,0.08081834,17.24047
227.43853,0.25604164,0.03893944,16.77501
227.29287,0.76879403,0.1172055,16.69555
227.2954,0.78291632,0.117437,17.56165
227.35206,0.6551174,0.03904717,17.67061
222.59964,0.34822804,0.03976773,16.8836
190.01639,0.34382133,0.1168804,15.58641
189.9747,0.3622326,0.11698,17.31106
189.92034,0.40074002,0.1176597,17.705
189.7897,0.35009849,0.117209,17.02113
186.14459,0.37666462,0.1169216,16.27575
180.39357,0.34745742,0.03859494,15.88569
178.79707,0.34063409,0.0807986,17.00733
167.7254,0.33175767,0.1174877,17.78156
167.7989,0.34150648,0.03957444,17.53745
163.6087,0.33593865,0.0386696,17.12676
162.63249,0.36061124,0.03842232,16.80195
162.4215,0.3631152,0.03866832,13.83551
162.11893,0.33602046,0.03936305,16.10533
158.58042,0.3670403,0.1173905,17.85326
154.48768,0.27386261,0.1167877,17.08281
146.90289,0.20893553,0.08021138,16.88906
225.09178,-0.11079102,0.1169518,17.48652
233.23545,1.3708075,0.08070005,16.91261
213.08758,-0.1576703,0.08063412,17.81381
212.77394,-0.11316545,0.1175165,18.50769
188.09948,-0.16069127,0.08054838,16.86928
184.71257,-0.084778093,0.1170418,16.8365
182.61594,-0.20782996,0.1176777,17.67766
182.44928,-0.010754513,0.1168336,16.86345
169.19601,-0.10021203,0.03931824,16.08192
168.77694,-0.071308917,0.08011892,17.4006
168.3406,-0.056491853,0.03920615,17.67463
168.36645,-0.056909478,0.03937292,15.34086
163.25815,-0.092660555,0.03834658,18.5098
235.64047,-0.50478065,0.03901537,15.72992
234.65889,-0.50782316,0.03899118,17.67391
234.59301,-0.46209912,0.0391009,15.07016
229.86642,-0.42146493,0.1169617,16.35833
227.48639,-0.58689149,0.08082564,17.35949
195.6471,-0.60481143,0.08021718,17.01831
185.29542,-0.50697824,0.03961219,17.42609
169.10584,-0.44741718,0.08081605,17.69243
167.51747,-0.56651676,0.03963303,15.84596
161.58263,-0.52831436,0.03836075,16.64947
142.18206,-0.50973957,0.1176245,17.25731
142.17843,-0.49421446,0.1172766,17.68949
229.19538,-0.9755874,0.1169932,18.01771
208.59505,-1.0152544,0.1169424,17.47604
199.98855,-0.93856879,0.08040725,17.35589
221.71562,-1.1468682,0.04171393,17.89861
229.24015,-1.0741415,0.118557,17.93671
202.623,-0.65164061,0.084674,17.18924
229.35781,-0.64011988,0.1185441,16.93637
229.54429,-0.82229545,0.1184107,17.36634
239.58576,-0.81856921,0.1183965,16.87121
183.39227,-0.28751473,0.1181684,17.73304
189.49884,0.95280651,0.04244433,17.46589
149.03144,-0.95566658,0.08471707,17.53553
149.10447,-0.90769115,0.08473924,16.67287
153.43818,-0.87719747,0.04176417,16.38199
200.18316,-0.89779772,0.08483236,16.27121
142.13978,-0.50314622,0.117847,17.07536
148.79165,-0.021022616,0.08521271,17.20503
148.84204,-0.072359757,0.08461425,17.54237
148.84251,-0.044114155,0.08525094,17.0724
181.30491,-0.051114409,0.1182282,17.6552
181.34561,-0.031564196,0.1180514,17.67069
184.49863,-0.15332387,0.1182402,17.0774
184.62787,-0.18818768,0.08487885,18.60653
197.05129,-0.08917143,0.08479736,17.65026
148.0587,0.23593928,0.08517714,16.02628
164.64563,0.29238444,0.04228432,15.72507
166.69301,0.25667317,0.04195643,15.57306
223.37131,0.30719559,0.04237309,17.7035
133.95948,0.83114712,0.04174339,15.56728
133.9486,0.7942829,0.04147589,14.46183
163.55068,0.68461593,0.04267079,16.82171
166.11116,0.6609969,0.1181439,17.07791
173.23905,0.80466768,0.1185797,17.21037
217.5604,0.66467053,0.1180469,17.47534
180.54957,1.1600396,0.08476318,16.33843
235.27662,1.0714604,0.08472318,17.70754
235.32886,1.1036659,0.08457722,16.49828
234.68796,1.4654168,0.04217549,17.23677
234.93923,1.4443015,0.08456705,16.42299
235.52061,1.421919,0.08461843,17.64617
220.03877,1.3395769,0.0845805,16.3351
130.4219,1.4790215,0.1177063,16.99775
147.89962,-0.21525091,0.08503481,17.57271
167.24258,1.4938364,0.08469164,16.93837
157.50687,0.55139247,0.117711,17.49543
218.58429,1.2617915,0.1182717,17.4908
139.86512,0.93671023,0.08487022,15.56601
180.26113,1.3575117,0.08485246,17.51207
235.47987,1.421503,0.08480491,15.30769
234.7148,1.495739,0.04264311,15.66512
234.36733,1.1234907,0.1185125,17.89758
225.74949,1.3148344,0.1185858,16.82229
224.49524,1.4745414,0.04271395,17.865
231.58048,0.81808121,0.08462257,16.51403
215.65408,1.1845586,0.1184616,17.67918
130.29031,1.0271058,0.08485162,16.9035
226.8425,1.0456314,0.1181653,17.75423
148.50585,0.49759475,0.08495065,16.91634
140.09784,0.52421711,0.08481692,17.23719
197.9644,-1.4498836,0.08490674,17.00698
194.88878,-1.4239956,0.08486944,17.33119
171.73336,-1.3210504,0.0420449,14.98906
187.29727,1.1201365,0.1180006,16.60197
180.49315,1.0875064,0.08501219,17.37747
163.0797,1.2092371,0.04167077,17.79109
160.99053,1.1049712,0.1177792,16.52999
160.9669,1.0632338,0.11785,16.62834
232.23946,1.406268,0.1179571,17.69764
130.2953,1.0604845,0.08516178,17.75496
130.23095,1.1627733,0.08472617,17.35695
228.34206,0.80646758,0.04275325,16.78891
223.49681,0.83222382,0.0427342,16.64394
216.97831,0.7153737,0.08498748,16.88728
216.92033,0.77499115,0.08462054,17.68725
202.71219,0.78492677,0.08497428,17.07778
202.48495,0.79080755,0.08468309,16.34273
201.79899,0.68753995,0.08469289,17.48742
200.92518,0.69366544,0.08456848,16.29614
184.95087,0.73307605,0.04169106,17.08177
180.27616,0.79939548,0.08490854,17.40332
164.37963,0.80123584,0.08476261,15.645
164.37646,0.706138,0.08506013,16.98496
164.35356,0.78175648,0.08505735,16.73922
158.4703,0.63110752,0.1183942,17.8834
158.2596,0.63043298,0.1177771,17.91685
146.78188,0.70441663,0.08525799,17.77677
133.78093,0.81155759,0.04167477,16.67511
231.42872,0.29800246,0.08454683,17.10023
